Period,Date,Month,Level,Replicate,Treatment,Total,RHPU,RHPR,RHPV,Rain
11,20/08/2014,Aug,2,4,CONT,1,0,0,1,580
11,20/08/2014,Aug,2,5,CONT,1,0,0,1,580
11,20/08/2014,Aug,2,6,CONT,1,0,0,1,580
11,21/08/2014,Aug,3,7,CONT,0,0,0,0,440
11,21/08/2014,Aug,3,8,CONT,0,0,0,0,440
11,21/08/2014,Aug,3,9,CONT,5,4,0,1,440
11,22/08/2014,Aug,1,1,CONT,4,3,0,1,640
11,22/08/2014,Aug,1,2,CONT,0,0,0,0,640
11,22/08/2014,Aug,1,3,CONT,1,0,0,1,640
11,20/08/2014,Aug,2,4,LMH,37,0,1,36,580
11,20/08/2014,Aug,2,5,LMH,5,0,1,4,580
11,20/08/2014,Aug,2,6,LMH,13,1,1,11,580
11,21/08/2014,Aug,3,7,LMH,45,0,2,43,440
11,21/08/2014,Aug,3,8,LMH,10,3,0,7,440
11,21/08/2014,Aug,3,9,LMH,9,2,0,7,440
11,22/08/2014,Aug,1,1,LMH,4,0,3,1,640
11,22/08/2014,Aug,1,2,LMH,5,1,4,0,640
11,22/08/2014,Aug,1,3,LMH,0,0,0,0,640
11,20/08/2014,Aug,2,4,MEGA,17,3,1,13,580
11,20/08/2014,Aug,2,5,MEGA,7,3,0,4,580
11,20/08/2014,Aug,2,6,MEGA,6,1,0,5,580
11,21/08/2014,Aug,3,7,MEGA,2,0,0,2,440
11,21/08/2014,Aug,3,8,MEGA,1,0,0,1,440
11,21/08/2014,Aug,3,9,MEGA,1,0,0,1,440
11,22/08/2014,Aug,1,1,MEGA,5,1,2,2,640
11,22/08/2014,Aug,1,2,MEGA,2,1,0,1,640
11,22/08/2014,Aug,1,3,MEGA,6,6,0,0,640
11,20/08/2014,Aug,2,4,MESO,28,5,0,23,580
11,20/08/2014,Aug,2,5,MESO,14,12,1,1,580
11,20/08/2014,Aug,2,6,MESO,8,8,0,0,580
11,21/08/2014,Aug,3,7,MESO,8,5,0,3,440
11,21/08/2014,Aug,3,8,MESO,15,13,0,2,440
11,21/08/2014,Aug,3,9,MESO,10,7,0,3,440
11,22/08/2014,Aug,1,1,MESO,4,0,1,3,640
11,22/08/2014,Aug,1,2,MESO,2,2,0,0,640
11,22/08/2014,Aug,1,3,MESO,0,0,0,0,640
4,27/01/2014,Jan,2,4,CONT,1,0,0,1,580
4,17/01/2014,Jan,2,5,CONT,14,11,3,0,580
4,27/01/2014,Jan,2,6,CONT,26,0,21,5,580
4,20/01/2014,Jan,3,7,CONT,8,6,0,2,440
4,25/01/2014,Jan,3,8,CONT,4,3,0,1,440
4,20/01/2014,Jan,3,9,CONT,5,5,0,0,440
4,14/01/2014,Jan,1,1,CONT,14,3,11,0,640
4,14/01/2014,Jan,1,2,CONT,4,1,3,0,640
4,18/01/2014,Jan,1,3,CONT,2,2,0,0,640
4,27/01/2014,Jan,2,4,LMH,4,0,0,4,580
4,17/01/2014,Jan,2,5,LMH,2,2,0,0,580
4,27/01/2014,Jan,2,6,LMH,8,4,0,4,580
4,20/01/2014,Jan,3,7,LMH,8,0,0,8,440
4,25/01/2014,Jan,3,8,LMH,3,0,0,3,440
4,20/01/2014,Jan,3,9,LMH,19,1,0,18,440
4,14/01/2014,Jan,1,1,LMH,38,0,38,0,640
4,14/01/2014,Jan,1,2,LMH,25,0,25,0,640
4,18/01/2014,Jan,1,3,LMH,0,0,0,0,640
4,27/01/2014,Jan,2,4,MEGA,16,3,12,1,580
4,17/01/2014,Jan,2,5,MEGA,9,6,3,0,580
4,27/01/2014,Jan,2,6,MEGA,0,0,0,0,580
4,20/01/2014,Jan,3,7,MEGA,11,2,7,2,440
4,25/01/2014,Jan,3,8,MEGA,19,13,2,4,440
4,20/01/2014,Jan,3,9,MEGA,21,13,3,5,440
4,14/01/2014,Jan,1,1,MEGA,21,0,21,0,640
4,14/01/2014,Jan,1,2,MEGA,14,3,11,0,640
4,18/01/2014,Jan,1,3,MEGA,16,2,14,0,640
4,27/01/2014,Jan,2,4,MESO,17,0,17,0,580
4,17/01/2014,Jan,2,5,MESO,10,3,6,1,580
4,27/01/2014,Jan,2,6,MESO,9,5,3,1,580
4,20/01/2014,Jan,3,7,MESO,34,8,25,1,440
4,25/01/2014,Jan,3,8,MESO,13,6,6,1,440
4,20/01/2014,Jan,3,9,MESO,19,7,5,7,440
4,14/01/2014,Jan,1,1,MESO,16,0,16,0,640
4,14/01/2014,Jan,1,2,MESO,3,0,3,0,640
4,18/01/2014,Jan,1,3,MESO,5,1,4,0,640
10,23/07/2014,Jul,2,4,CONT,7,0,1,6,580
10,23/07/2014,Jul,2,5,CONT,11,11,0,0,580
10,23/07/2014,Jul,2,6,CONT,2,0,0,2,580
10,24/07/2014,Jul,3,7,CONT,10,0,0,10,440
10,24/07/2014,Jul,3,8,CONT,0,0,0,0,440
10,24/07/2014,Jul,3,9,CONT,2,0,0,2,440
10,22/07/2014,Jul,1,1,CONT,4,0,0,4,640
10,22/07/2014,Jul,1,2,CONT,0,0,0,0,640
10,22/07/2014,Jul,1,3,CONT,0,0,0,0,640
10,23/07/2014,Jul,2,4,LMH,85,0,1,84,580
10,23/07/2014,Jul,2,5,LMH,24,2,0,22,580
10,23/07/2014,Jul,2,6,LMH,19,4,1,14,580
10,24/07/2014,Jul,3,7,LMH,78,1,1,76,440
10,24/07/2014,Jul,3,8,LMH,67,7,0,60,440
10,24/07/2014,Jul,3,9,LMH,32,1,1,30,440
10,22/07/2014,Jul,1,1,LMH,0,0,0,0,640
10,22/07/2014,Jul,1,2,LMH,4,3,1,0,640
10,22/07/2014,Jul,1,3,LMH,10,0,6,4,640
10,23/07/2014,Jul,2,4,MEGA,18,3,0,15,580
