Period,Date,Month,Level,Replicate,Treatment,RHPV,RHPU,RHPR,Total,Rain
11,22/08/2014,Aug,1,1,LMH,1,0,3,4,640
11,22/08/2014,Aug,1,2,LMH,0,1,4,5,640
11,22/08/2014,Aug,1,3,LMH,0,0,0,0,640
3,16/12/2013,Dec,1,1,CONT,1,0,16,17,640
3,16/12/2013,Dec,1,2,CONT,0,0,21,21,640
3,16/12/2013,Dec,1,3,CONT,0,0,0,0,640
3,16/12/2013,Dec,1,1,LMH,0,0,21,21,640
3,16/12/2013,Dec,1,2,LMH,0,0,14,14,640
3,16/12/2013,Dec,1,3,LMH,0,0,0,0,640
5,14/02/2014,Feb,1,1,CONT,0,0,11,11,640
5,2/11/2014,Feb,1,2,CONT,0,4,11,15,640
5,14/02/2014,Feb,1,3,CONT,1,1,11,13,640
5,14/02/2014,Feb,1,1,LMH,0,2,12,14,640
5,2/11/2014,Feb,1,2,LMH,1,0,11,12,640
5,14/02/2014,Feb,1,3,LMH,0,0,7,7,640
4,14/01/2014,Jan,1,1,CONT,0,3,11,14,640
4,14/01/2014,Jan,1,2,CONT,0,1,3,4,640
4,18/01/2014,Jan,1,3,CONT,0,2,0,2,640
4,14/01/2014,Jan,1,1,LMH,0,0,38,38,640
4,14/01/2014,Jan,1,2,LMH,0,0,25,25,640
4,18/01/2014,Jan,1,3,LMH,0,0,0,0,640
10,22/07/2014,Jul,1,1,CONT,4,0,0,4,640
10,22/07/2014,Jul,1,2,CONT,0,0,0,0,640
10,22/07/2014,Jul,1,3,CONT,0,0,0,0,640
10,22/07/2014,Jul,1,1,LMH,0,0,0,0,640
10,22/07/2014,Jul,1,2,LMH,0,3,1,4,640
10,22/07/2014,Jul,1,3,LMH,4,0,6,10,640
9,23/06/2014,Jun,1,1,CONT,0,4,0,4,640
9,23/06/2014,Jun,1,2,CONT,5,0,0,5,640
9,23/06/2014,Jun,1,3,CONT,1,0,1,2,640
9,23/06/2014,Jun,1,1,LMH,4,0,2,6,640
9,23/06/2014,Jun,1,2,LMH,0,1,0,1,640
9,23/06/2014,Jun,1,3,LMH,0,0,0,0,640
6.5,22/04/2014,MarApr,1,1,CONT,0,0,0,0,640
6.5,22/04/2014,MarApr,1,2,CONT,0,0,0,0,640
6.5,23/04/2014,MarApr,1,3,CONT,0,4,0,4,640
6.5,22/04/2014,MarApr,1,1,LMH,1,0,0,1,640
6.5,22/04/2014,MarApr,1,2,LMH,1,0,0,1,640
6.5,23/04/2014,MarApr,1,3,LMH,1,0,0,1,640
8,5/10/2014,May,1,1,CONT,1,8,4,13,640
8,21/05/2014,May,1,2,CONT,1,7,1,9,640
8,21/05/2014,May,1,3,CONT,0,7,3,10,640
8,5/10/2014,May,1,1,LMH,2,1,9,12,640
8,21/05/2014,May,1,2,LMH,1,0,13,14,640
8,21/05/2014,May,1,3,LMH,2,21,2,25,640
2,14/11/2013,Nov,1,1,CONT,0,2,6,8,640
2,14/11/2013,Nov,1,2,CONT,0,2,5,7,640
2,15/11/2013,Nov,1,3,CONT,0,5,16,21,640
2,14/11/2013,Nov,1,1,LMH,1,0,32,33,640
2,14/11/2013,Nov,1,2,LMH,8,0,6,14,640
2,15/11/2013,Nov,1,3,LMH,0,0,3,3,640
1,18/10/2013,Oct,1,1,CONT,0,1,16,17,640
1,18/10/2013,Oct,1,2,CONT,0,1,0,1,640
1,19/10/2013,Oct,1,3,CONT,0,0,0,0,640
1,18/10/2013,Oct,1,1,LMH,2,0,11,13,640
1,18/10/2013,Oct,1,2,LMH,0,1,5,6,640
1,19/10/2013,Oct,1,3,LMH,0,0,3,3,640
13.5,13/11/2014,OctNov,1,1,CONT,1,4,4,9,640
13.5,13/11/2014,OctNov,1,2,CONT,1,0,5,6,640
13.5,14/11/2014,OctNov,1,3,CONT,1,1,3,5,640
13.5,13/11/2014,OctNov,1,1,LMH,0,5,9,14,640
13.5,13/11/2014,OctNov,1,2,LMH,1,5,3,9,640
13.5,14/11/2014,OctNov,1,3,LMH,0,6,2,8,640
12,26/09/2014,Sep,1,1,CONT,0,2,1,3,640
12,26/09/2014,Sep,1,2,CONT,0,3,2,5,640
12,26/09/2014,Sep,1,3,CONT,0,4,5,9,640
12,26/09/2014,Sep,1,1,LMH,2,1,0,3,640
12,26/09/2014,Sep,1,2,LMH,1,0,1,2,640
12,26/09/2014,Sep,1,3,LMH,0,0,0,0,640
11,22/08/2014,Aug,1,1,CONT,1,3,0,4,640
11,22/08/2014,Aug,1,2,CONT,0,0,0,0,640
11,22/08/2014,Aug,1,3,CONT,1,0,0,1,640
11,20/08/2014,Aug,2,4,CONT,1,0,0,1,580
11,20/08/2014,Aug,2,5,CONT,1,0,0,1,580
11,20/08/2014,Aug,2,6,CONT,1,0,0,1,580
11,20/08/2014,Aug,2,4,LMH,36,0,1,37,580
11,20/08/2014,Aug,2,5,LMH,4,0,1,5,580
11,20/08/2014,Aug,2,6,LMH,11,1,1,13,580
3,18/12/2013,Dec,2,4,CONT,0,0,12,12,580
3,18/12/2013,Dec,2,5,CONT,0,0,18,18,580
3,18/12/2013,Dec,2,6,CONT,0,0,0,0,580
3,18/12/2013,Dec,2,4,LMH,0,0,17,17,580
3,18/12/2013,Dec,2,5,LMH,0,3,11,14,580
3,18/12/2013,Dec,2,6,LMH,0,0,0,0,580
5,2/12/2014,Feb,2,4,CONT,7,3,14,24,580
5,17/02/2014,Feb,2,5,CONT,1,0,6,7,580
5,17/02/2014,Feb,2,6,CONT,1,2,7,10,580
5,2/12/2014,Feb,2,4,LMH,5,0,14,19,580
5,17/02/2014,Feb,2,5,LMH,6,1,0,7,580
5,17/02/2014,Feb,2,6,LMH,1,1,5,7,580
4,27/01/2014,Jan,2,4,CONT,1,0,0,1,580
4,17/01/2014,Jan,2,5,CONT,0,11,3,14,580
4,27/01/2014,Jan,2,6,CONT,5,0,21,26,580
4,27/01/2014,Jan,2,4,LMH,4,0,0,4,580
4,17/01/2014,Jan,2,5,LMH,0,2,0,2,580
4,27/01/2014,Jan,2,6,LMH,4,4,0,8,580
10,23/07/2014,Jul,2,4,CONT,6,0,1,7,580
10,23/07/2014,Jul,2,5,CONT,0,0,0,0,580
10,23/07/2014,Jul,2,6,CONT,2,0,0,2,580
10,23/07/2014,Jul,2,4,LMH,84,2,1,87,580
10,23/07/2014,Jul,2,5,LMH,22,0,0,22,580
10,23/07/2014,Jul,2,6,LMH,14,0,1,15,580
9,24/06/2014,Jun,2,4,CONT,4,8,2,14,580
9,24/06/2014,Jun,2,5,CONT,0,4,0,4,580
9,24/06/2014,Jun,2,6,CONT,1,5,0,6,580
9,24/06/2014,Jun,2,4,LMH,62,0,7,69,580
9,24/06/2014,Jun,2,5,LMH,11,0,2,13,580
9,24/06/2014,Jun,2,6,LMH,12,5,3,20,580
6.5,28/03/2014,MarApr,2,4,CONT,24,0,0,24,580
6.5,29/03/2014,MarApr,2,5,CONT,3,1,0,4,580
6.5,1/4/2014,MarApr,2,6,CONT,2,9,0,11,580
6.5,28/03/2014,MarApr,2,4,LMH,5,1,0,6,580
6.5,29/03/2014,MarApr,2,5,LMH,7,0,0,7,580
6.5,1/4/2014,MarApr,2,6,LMH,1,10,0,11,580
8,5/8/2014,May,2,4,CONT,7,13,3,23,580
8,5/8/2014,May,2,5,CONT,1,20,0,21,580
8,5/9/2014,May,2,6,CONT,3,6,1,10,580
8,5/9/2014,May,2,4,LMH,19,1,7,27,580
8,5/9/2014,May,2,5,LMH,4,1,4,9,580
8,5/9/2014,May,2,6,LMH,12,2,13,27,580
2,19/11/2013,Nov,2,4,CONT,5,4,19,28,580
