Period,Date,Month,Level,Replicate,Treatment,Total,species,Rain
11,20/08/2014,Aug,2,4,CONT,0,RHPR,580
11,20/08/2014,Aug,2,5,CONT,0,RHPR,580
11,20/08/2014,Aug,2,6,CONT,0,RHPR,580
11,20/08/2014,Aug,2,4,LMH,1,RHPR,580
11,20/08/2014,Aug,2,5,LMH,1,RHPR,580
11,20/08/2014,Aug,2,6,LMH,1,RHPR,580
11,21/08/2014,Aug,3,7,CONT,0,RHPR,440
11,21/08/2014,Aug,3,8,CONT,0,RHPR,440
11,21/08/2014,Aug,3,9,CONT,0,RHPR,440
11,21/08/2014,Aug,3,7,LMH,2,RHPR,440
11,21/08/2014,Aug,3,8,LMH,0,RHPR,440
11,21/08/2014,Aug,3,9,LMH,0,RHPR,440
11,22/08/2014,Aug,1,1,CONT,0,RHPR,640
11,22/08/2014,Aug,1,2,CONT,0,RHPR,640
11,22/08/2014,Aug,1,3,CONT,0,RHPR,640
11,22/08/2014,Aug,1,1,LMH,3,RHPR,640
11,22/08/2014,Aug,1,2,LMH,4,RHPR,640
11,22/08/2014,Aug,1,3,LMH,0,RHPR,640
11,20/08/2014,Aug,2,4,MEGA,1,RHPR,580
11,20/08/2014,Aug,2,5,MEGA,0,RHPR,580
11,20/08/2014,Aug,2,6,MEGA,0,RHPR,580
11,20/08/2014,Aug,2,4,MESO,0,RHPR,580
11,20/08/2014,Aug,2,5,MESO,1,RHPR,580
11,20/08/2014,Aug,2,6,MESO,0,RHPR,580
4,20/01/2014,Jan,3,7,CONT,0,RHPR,440
11,21/08/2014,Aug,3,7,MEGA,0,RHPR,440
4,25/01/2014,Jan,3,8,CONT,0,RHPR,440
4,20/01/2014,Jan,3,9,CONT,0,RHPR,440
11,21/08/2014,Aug,3,8,MEGA,0,RHPR,440
4,20/01/2014,Jan,3,7,LMH,0,RHPR,440
11,22/08/2014,Aug,1,3,MEGA,2,RHPR,640
11,22/08/2014,Aug,1,1,MEGA,0,RHPR,640
11,22/08/2014,Aug,1,2,MEGA,0,RHPR,640
11,22/08/2014,Aug,1,1,MESO,1,RHPR,640
11,22/08/2014,Aug,1,2,MESO,0,RHPR,640
11,22/08/2014,Aug,1,3,MESO,0,RHPR,640
4,27/01/2014,Jan,2,4,CONT,0,RHPR,580
