Period,Date,Month,Level,Replicate,Treatment,Total,species,Rain
1,24/10/2013,Oct,3,7,CONT,28,RHPR,440
1,25/10/2013,Oct,3,8,CONT,34,RHPR,440
1,25/10/2013,Oct,3,9,CONT,33,RHPR,440
1,22/10/2013,Oct,2,4,CONT,19,RHPR,580
2,19/11/2013,Nov,2,4,CONT,19,RHPR,580
3,18/12/2013,Dec,2,4,CONT,12,RHPR,580
1,18/10/2013,Oct,1,1,CONT,16,RHPR,640
1,18/10/2013,Oct,1,2,CONT,0,RHPR,640
1,19/10/2013,Oct,1,3,CONT,0,RHPR,640
2,28/11/2013,Nov,3,7,CONT,8,RHPR,440
2,29/11/2013,Nov,3,8,CONT,8,RHPR,440
2,29/11/2013,Nov,3,9,CONT,34,RHPR,440
4,27/01/2014,Jan,2,4,CONT,0,RHPR,580
5,2/12/2014,Feb,2,4,CONT,14,RHPR,580
6.5,28/03/2014,MarApr,2,4,CONT,0,RHPR,580
2,14/11/2013,Nov,1,1,CONT,6,RHPR,640
2,14/11/2013,Nov,1,2,CONT,5,RHPR,640
2,15/11/2013,Nov,1,3,CONT,16,RHPR,640
3,17/12/2013,Dec,3,7,CONT,15,RHPR,440
3,17/12/2013,Dec,3,8,CONT,27,RHPR,440
3,17/12/2013,Dec,3,9,CONT,0,RHPR,440
8,5/8/2014,May,2,4,CONT,3,RHPR,580
9,24/06/2014,Jun,2,4,CONT,2,RHPR,580
10,23/07/2014,Jul,2,4,CONT,1,RHPR,580
3,16/12/2013,Dec,1,1,CONT,16,RHPR,640
3,16/12/2013,Dec,1,2,CONT,21,RHPR,640
3,16/12/2013,Dec,1,3,CONT,0,RHPR,640
4,20/01/2014,Jan,3,7,CONT,0,RHPR,440
4,25/01/2014,Jan,3,8,CONT,0,RHPR,440
4,20/01/2014,Jan,3,9,CONT,0,RHPR,440
11,20/08/2014,Aug,2,4,CONT,0,RHPR,580
12,30/09/2014,Sep,2,4,CONT,0,RHPR,580
13.5,11/11/2014,OctNov,2,4,CONT,3,RHPR,580
4,14/01/2014,Jan,1,1,CONT,11,RHPR,640
4,14/01/2014,Jan,1,2,CONT,3,RHPR,640
4,18/01/2014,Jan,1,3,CONT,0,RHPR,640
5,13/02/2014,Feb,3,7,CONT,3,RHPR,440
5,13/02/2014,Feb,3,8,CONT,4,RHPR,440
5,14/02/2014,Feb,3,9,CONT,11,RHPR,440
1,22/10/2013,Oct,2,4,LMH,32,RHPR,580
2,19/11/2013,Nov,2,4,LMH,41,RHPR,580
3,18/12/2013,Dec,2,4,LMH,17,RHPR,580
5,14/02/2014,Feb,1,1,CONT,11,RHPR,640
5,2/11/2014,Feb,1,2,CONT,11,RHPR,640
5,14/02/2014,Feb,1,3,CONT,11,RHPR,640
6.5,26/03/2014,MarApr,3,7,CONT,0,RHPR,440
6.5,26/03/2014,MarApr,3,8,CONT,0,RHPR,440
6.5,27/03/2014,MarApr,3,9,CONT,0,RHPR,440
4,27/01/2014,Jan,2,4,LMH,0,RHPR,580
5,2/12/2014,Feb,2,4,LMH,14,RHPR,580
6.5,28/03/2014,MarApr,2,4,LMH,0,RHPR,580
6.5,22/04/2014,MarApr,1,1,CONT,0,RHPR,640
6.5,22/04/2014,MarApr,1,2,CONT,0,RHPR,640
6.5,23/04/2014,MarApr,1,3,CONT,0,RHPR,640
8,5/12/2014,May,3,7,CONT,6,RHPR,440
8,13/05/2014,May,3,8,CONT,2,RHPR,440
8,28/05/2014,May,3,9,CONT,1,RHPR,440
8,5/9/2014,May,2,4,LMH,7,RHPR,580
9,24/06/2014,Jun,2,4,LMH,7,RHPR,580
10,23/07/2014,Jul,2,4,LMH,1,RHPR,580
8,5/10/2014,May,1,1,CONT,4,RHPR,640
8,21/05/2014,May,1,2,CONT,1,RHPR,640
8,21/05/2014,May,1,3,CONT,3,RHPR,640
9,25/06/2014,Jun,3,7,CONT,1,RHPR,440
9,25/06/2014,Jun,3,8,CONT,0,RHPR,440
9,25/06/2014,Jun,3,9,CONT,3,RHPR,440
11,20/08/2014,Aug,2,4,LMH,1,RHPR,580
12,30/09/2014,Sep,2,4,LMH,3,RHPR,580
13.5,11/11/2014,OctNov,2,4,LMH,0,RHPR,580
9,23/06/2014,Jun,1,1,CONT,0,RHPR,640
9,23/06/2014,Jun,1,2,CONT,0,RHPR,640
9,23/06/2014,Jun,1,3,CONT,1,RHPR,640
10,24/07/2014,Jul,3,7,CONT,0,RHPR,440
10,24/07/2014,Jul,3,8,CONT,0,RHPR,440
10,24/07/2014,Jul,3,9,CONT,0,RHPR,440
1,23/10/2013,Oct,2,5,CONT,9,RHPR,580
2,26/11/2013,Nov,2,5,CONT,32,RHPR,580
3,18/12/2013,Dec,2,5,CONT,18,RHPR,580
10,22/07/2014,Jul,1,1,CONT,0,RHPR,640
10,22/07/2014,Jul,1,2,CONT,0,RHPR,640
10,22/07/2014,Jul,1,3,CONT,0,RHPR,640
11,21/08/2014,Aug,3,7,CONT,0,RHPR,440
11,21/08/2014,Aug,3,8,CONT,0,RHPR,440
11,21/08/2014,Aug,3,9,CONT,0,RHPR,440
4,17/01/2014,Jan,2,5,CONT,3,RHPR,580
5,17/02/2014,Feb,2,5,CONT,6,RHPR,580
6.5,29/03/2014,MarApr,2,5,CONT,0,RHPR,580
11,22/08/2014,Aug,1,1,CONT,0,RHPR,640
11,22/08/2014,Aug,1,2,CONT,0,RHPR,640
