Period,Date,Month,Level,Replicate,Treatment,Total,species,Rain
11,20/08/2014,Aug,2,4,CONT,0,RHPU,580
11,20/08/2014,Aug,2,5,CONT,0,RHPU,580
11,20/08/2014,Aug,2,6,CONT,0,RHPU,580
11,21/08/2014,Aug,3,7,CONT,0,RHPU,440
11,21/08/2014,Aug,3,8,CONT,0,RHPU,440
11,21/08/2014,Aug,3,9,CONT,4,RHPU,440
11,22/08/2014,Aug,1,1,CONT,3,RHPU,640
11,22/08/2014,Aug,1,2,CONT,0,RHPU,640
11,22/08/2014,Aug,1,3,CONT,0,RHPU,640
11,20/08/2014,Aug,2,4,LMH,0,RHPU,580
11,20/08/2014,Aug,2,5,LMH,0,RHPU,580
11,20/08/2014,Aug,2,6,LMH,1,RHPU,580
11,21/08/2014,Aug,3,7,LMH,0,RHPU,440
11,21/08/2014,Aug,3,8,LMH,3,RHPU,440
11,21/08/2014,Aug,3,9,LMH,2,RHPU,440
11,22/08/2014,Aug,1,1,LMH,0,RHPU,640
11,22/08/2014,Aug,1,2,LMH,1,RHPU,640
11,22/08/2014,Aug,1,3,LMH,0,RHPU,640
11,20/08/2014,Aug,2,4,MEGA,3,RHPU,580
11,20/08/2014,Aug,2,5,MEGA,3,RHPU,580
11,20/08/2014,Aug,2,6,MEGA,1,RHPU,580
11,21/08/2014,Aug,3,7,MEGA,0,RHPU,440
11,21/08/2015,Aug,3,8,MEGA,0,RHPU,440
11,21/08/2016,Aug,3,9,MEGA,0,RHPU,440
11,22/08/2014,Aug,1,1,MEGA,1,RHPU,640
11,22/08/2014,Aug,1,2,MEGA,1,RHPU,640
11,22/08/2014,Aug,1,3,MEGA,6,RHPU,640
11,20/08/2014,Aug,2,4,MESO,5,RHPU,580
11,20/08/2014,Aug,2,5,MESO,12,RHPU,580
11,20/08/2014,Aug,2,6,MESO,8,RHPU,580
11,21/08/2014,Aug,3,7,MESO,5,RHPU,440
11,21/08/2014,Aug,3,8,MESO,13,RHPU,440
11,21/08/2014,Aug,3,9,MESO,7,RHPU,440
11,22/08/2014,Aug,1,1,MESO,0,RHPU,640
11,22/08/2014,Aug,1,2,MESO,2,RHPU,640
11,22/08/2014,Aug,1,3,MESO,0,RHPU,640
4,27/01/2014,Jan,2,4,CONT,0,RHPU,580
4,17/01/2014,Jan,2,5,CONT,11,RHPU,580
4,27/01/2014,Jan,2,6,CONT,0,RHPU,580
4,20/01/2014,Jan,3,7,CONT,6,RHPU,440
4,25/01/2014,Jan,3,8,CONT,3,RHPU,440
4,20/01/2014,Jan,3,9,CONT,5,RHPU,440
4,14/01/2014,Jan,1,1,CONT,3,RHPU,640
4,14/01/2014,Jan,1,2,CONT,1,RHPU,640
4,18/01/2014,Jan,1,3,CONT,2,RHPU,640
4,27/01/2014,Jan,2,4,LMH,0,RHPU,580
4,17/01/2014,Jan,2,5,LMH,2,RHPU,580
4,27/01/2014,Jan,2,6,LMH,4,RHPU,580
4,20/01/2014,Jan,3,7,LMH,0,RHPU,440
4,25/01/2014,Jan,3,8,LMH,0,RHPU,440
4,20/01/2014,Jan,3,9,LMH,1,RHPU,440
4,14/01/2014,Jan,1,1,LMH,0,RHPU,640
4,14/01/2014,Jan,1,2,LMH,0,RHPU,640
4,18/01/2014,Jan,1,3,LMH,0,RHPU,640
4,27/01/2014,Jan,2,4,MEGA,3,RHPU,580
4,17/01/2014,Jan,2,5,MEGA,6,RHPU,580
4,27/01/2014,Jan,2,6,MEGA,0,RHPU,580
4,20/01/2014,Jan,3,7,MEGA,2,RHPU,440
4,25/01/2014,Jan,3,8,MEGA,13,RHPU,440
4,20/01/2014,Jan,3,9,MEGA,13,RHPU,440
4,14/01/2014,Jan,1,1,MEGA,0,RHPU,640
4,14/01/2014,Jan,1,2,MEGA,3,RHPU,640
4,18/01/2014,Jan,1,3,MEGA,2,RHPU,640
4,27/01/2014,Jan,2,4,MESO,0,RHPU,580
4,27/01/2014,Jan,2,5,MESO,3,RHPU,580
4,27/01/2014,Jan,2,6,MESO,5,RHPU,580
4,20/01/2014,Jan,3,7,MESO,8,RHPU,440
4,25/01/2014,Jan,3,8,MESO,6,RHPU,440
4,20/01/2014,Jan,3,9,MESO,7,RHPU,440
4,14/01/2014,Jan,1,1,MESO,0,RHPU,640
4,14/01/2014,Jan,1,2,MESO,0,RHPU,640
4,18/01/2014,Jan,1,3,MESO,1,RHPU,640
10,23/07/2014,Jul,2,4,CONT,0,RHPU,580
10,23/07/2014,Jul,2,5,CONT,0,RHPU,580
10,23/07/2014,Jul,2,6,CONT,0,RHPU,580
10,24/07/2014,Jul,3,7,CONT,0,RHPU,440
10,24/07/2014,Jul,3,8,CONT,0,RHPU,440
10,24/07/2014,Jul,3,9,CONT,0,RHPU,440
10,22/07/2014,Jul,1,1,CONT,0,RHPU,640
10,22/07/2014,Jul,1,2,CONT,0,RHPU,640
10,22/07/2014,Jul,1,3,CONT,0,RHPU,640
10,23/07/2014,Jul,2,4,LMH,2,RHPU,580
10,23/07/2014,Jul,2,5,LMH,0,RHPU,580
10,23/07/2014,Jul,2,6,LMH,0,RHPU,580
10,24/07/2014,Jul,3,7,LMH,1,RHPU,440
10,24/07/2014,Jul,3,8,LMH,7,RHPU,440
10,24/07/2014,Jul,3,9,LMH,1,RHPU,440
10,22/07/2014,Jul,1,1,LMH,0,RHPU,640
10,22/07/2014,Jul,1,2,LMH,3,RHPU,640
10,22/07/2014,Jul,1,3,LMH,0,RHPU,640
10,23/07/2014,Jul,2,4,MEGA,1,RHPU,580
10,23/07/2014,Jul,2,5,MEGA,3,RHPU,580
10,23/07/2014,Jul,2,6,MEGA,4,RHPU,580
10,24/07/2014,Jul,3,7,MEGA,5,RHPU,440
10,24/07/2014,Jul,3,8,MEGA,6,RHPU,440
10,24/07/2014,Jul,3,9,MEGA,2,RHPU,440
10,22/07/2014,Jul,1,1,MEGA,4,RHPU,640
10,22/07/2014,Jul,1,2,MEGA,7,RHPU,640
10,22/07/2014,Jul,1,3,MEGA,1,RHPU,640
10,23/07/2014,Jul,2,4,MESO,8,RHPU,580
10,23/07/2014,Jul,2,5,MESO,28,RHPU,580
10,23/07/2014,Jul,2,6,MESO,12,RHPU,580
10,24/07/2014,Jul,3,7,MESO,21,RHPU,440
10,24/07/2014,Jul,3,8,MESO,10,RHPU,440
10,24/07/2014,Jul,3,9,MESO,21,RHPU,440
10,22/07/2014,Jul,1,1,MESO,4,RHPU,640
10,22/07/2014,Jul,1,2,MESO,1,RHPU,640
10,22/07/2014,Jul,1,3,MESO,4,RHPU,640
13.5,11/11/2014,OctNov,2,4,CONT,3,RHPU,580
