Period,Date,Month,Level,Replicate,Treatment,Total,species,Rain
1,24/10/2013,Oct,3,7,CONT,15,RHPU,440
1,25/10/2013,Oct,3,8,CONT,2,RHPU,440
1,25/10/2013,Oct,3,9,CONT,4,RHPU,440
1,22/10/2013,Oct,2,4,CONT,4,RHPU,580
1,23/10/2013,Oct,2,5,CONT,22,RHPU,580
1,23/10/2013,Oct,2,6,CONT,7,RHPU,580
1,18/10/2013,Oct,1,1,CONT,1,RHPU,640
1,18/10/2013,Oct,1,2,CONT,1,RHPU,640
1,19/10/2013,Oct,1,3,CONT,0,RHPU,640
2,28/11/2013,Nov,3,7,CONT,19,RHPU,440
2,29/11/2013,Nov,3,8,CONT,1,RHPU,440
2,29/11/2013,Nov,3,9,CONT,0,RHPU,440
2,19/11/2013,Nov,2,4,CONT,4,RHPU,580
2,26/11/2013,Nov,2,5,CONT,10,RHPU,580
2,26/11/2013,Nov,2,6,CONT,13,RHPU,580
2,14/11/2013,Nov,1,1,CONT,2,RHPU,640
2,14/11/2013,Nov,1,2,CONT,2,RHPU,640
2,15/11/2013,Nov,1,3,CONT,5,RHPU,640
3,17/12/2013,Dec,3,7,CONT,0,RHPU,440
3,17/12/2013,Dec,3,8,CONT,0,RHPU,440
3,17/12/2013,Dec,3,9,CONT,0,RHPU,440
3,18/12/2013,Dec,2,4,CONT,0,RHPU,580
3,18/12/2013,Dec,2,5,CONT,0,RHPU,580
3,18/12/2013,Dec,2,6,CONT,0,RHPU,580
3,16/12/2013,Dec,1,1,CONT,0,RHPU,640
3,16/12/2013,Dec,1,2,CONT,0,RHPU,640
3,16/12/2013,Dec,1,3,CONT,0,RHPU,640
4,20/01/2014,Jan,3,7,CONT,6,RHPU,440
4,25/01/2014,Jan,3,8,CONT,3,RHPU,440
4,20/01/2014,Jan,3,9,CONT,5,RHPU,440
4,27/01/2014,Jan,2,4,CONT,0,RHPU,580
4,17/01/2014,Jan,2,5,CONT,11,RHPU,580
4,27/01/2014,Jan,2,6,CONT,0,RHPU,580
4,14/01/2014,Jan,1,1,CONT,3,RHPU,640
4,14/01/2014,Jan,1,2,CONT,1,RHPU,640
4,18/01/2014,Jan,1,3,CONT,2,RHPU,640
5,13/02/2014,Feb,3,7,CONT,3,RHPU,440
5,13/02/2014,Feb,3,8,CONT,1,RHPU,440
5,14/02/2014,Feb,3,9,CONT,0,RHPU,440
5,2/12/2014,Feb,2,4,CONT,3,RHPU,580
5,17/02/2014,Feb,2,5,CONT,0,RHPU,580
5,17/02/2014,Feb,2,6,CONT,2,RHPU,580
5,14/02/2014,Feb,1,1,CONT,0,RHPU,640
5,2/11/2014,Feb,1,2,CONT,4,RHPU,640
5,14/02/2014,Feb,1,3,CONT,1,RHPU,640
6.5,26/03/2014,MarApr,3,7,CONT,8,RHPU,440
6.5,26/03/2014,MarApr,3,8,CONT,1,RHPU,440
6.5,27/03/2014,MarApr,3,9,CONT,8,RHPU,440
6.5,28/03/2014,MarApr,2,4,CONT,0,RHPU,580
6.5,29/03/2014,MarApr,2,5,CONT,1,RHPU,580
6.5,1/4/2014,MarApr,2,6,CONT,9,RHPU,580
6.5,22/04/2014,MarApr,1,1,CONT,0,RHPU,640
6.5,22/04/2014,MarApr,1,2,CONT,0,RHPU,640
6.5,23/04/2014,MarApr,1,3,CONT,4,RHPU,640
8,5/12/2014,May,3,7,CONT,3,RHPU,440
8,13/05/2014,May,3,8,CONT,0,RHPU,440
8,28/05/2014,May,3,9,CONT,17,RHPU,440
8,5/8/2014,May,2,4,CONT,13,RHPU,580
8,5/8/2014,May,2,5,CONT,20,RHPU,580
8,5/9/2014,May,2,6,CONT,6,RHPU,580
8,5/10/2014,May,1,1,CONT,8,RHPU,640
8,21/05/2014,May,1,2,CONT,7,RHPU,640
8,21/05/2014,May,1,3,CONT,7,RHPU,640
9,25/06/2014,Jun,3,7,CONT,6,RHPU,440
9,25/06/2014,Jun,3,8,CONT,0,RHPU,440
9,25/06/2014,Jun,3,9,CONT,4,RHPU,440
9,24/06/2014,Jun,2,4,CONT,8,RHPU,580
9,24/06/2014,Jun,2,5,CONT,4,RHPU,580
9,24/06/2014,Jun,2,6,CONT,5,RHPU,580
9,23/06/2014,Jun,1,1,CONT,4,RHPU,640
9,23/06/2014,Jun,1,2,CONT,0,RHPU,640
9,23/06/2014,Jun,1,3,CONT,0,RHPU,640
10,24/07/2014,Jul,3,7,CONT,0,RHPU,440
10,24/07/2014,Jul,3,8,CONT,0,RHPU,440
10,24/07/2014,Jul,3,9,CONT,0,RHPU,440
10,23/07/2014,Jul,2,4,CONT,0,RHPU,580
10,23/07/2014,Jul,2,5,CONT,0,RHPU,580
10,23/07/2014,Jul,2,6,CONT,0,RHPU,580
10,22/07/2014,Jul,1,1,CONT,0,RHPU,640
10,22/07/2014,Jul,1,2,CONT,0,RHPU,640
10,22/07/2014,Jul,1,3,CONT,0,RHPU,640
11,21/08/2014,Aug,3,7,CONT,0,RHPU,440
11,21/08/2014,Aug,3,8,CONT,0,RHPU,440
