Period,Date,Month,Level,Replicate,Treatment,Total,species,Rain
11,20/08/2014,Aug,2,4,CONT,1,RHPV,580
11,20/08/2014,Aug,2,5,CONT,1,RHPV,580
11,20/08/2014,Aug,2,6,CONT,1,RHPV,580
11,21/08/2014,Aug,3,7,CONT,0,RHPV,440
11,21/08/2014,Aug,3,8,CONT,0,RHPV,440
11,21/08/2014,Aug,3,9,CONT,1,RHPV,440
11,22/08/2014,Aug,1,1,CONT,1,RHPV,640
11,22/08/2014,Aug,1,2,CONT,0,RHPV,640
11,22/08/2014,Aug,1,3,CONT,1,RHPV,640
11,20/08/2014,Aug,2,4,LMH,36,RHPV,580
11,20/08/2014,Aug,2,5,LMH,4,RHPV,580
11,20/08/2014,Aug,2,6,LMH,11,RHPV,580
11,21/08/2014,Aug,3,7,LMH,43,RHPV,440
11,21/08/2014,Aug,3,8,LMH,7,RHPV,440
11,21/08/2014,Aug,3,9,LMH,7,RHPV,440
11,22/08/2014,Aug,1,1,LMH,1,RHPV,640
11,22/08/2014,Aug,1,2,LMH,0,RHPV,640
11,22/08/2014,Aug,1,3,LMH,0,RHPV,640
11,20/08/2014,Aug,2,4,MEGA,13,RHPV,580
11,20/08/2014,Aug,2,5,MEGA,4,RHPV,580
11,20/08/2014,Aug,2,6,MEGA,5,RHPV,580
11,21/08/2014,Aug,3,7,MEGA,2,RHPV,440
11,21/08/2014,Aug,3,8,MEGA,1,RHPV,440
11,21/08/2014,Aug,3,9,MEGA,1,RHPV,440
11,22/08/2014,Aug,1,1,MEGA,2,RHPV,640
11,22/08/2014,Aug,1,2,MEGA,1,RHPV,640
11,22/08/2014,Aug,1,3,MEGA,0,RHPV,640
11,20/08/2014,Aug,2,4,MESO,23,RHPV,580
11,20/08/2014,Aug,2,5,MESO,1,RHPV,580
11,20/08/2014,Aug,2,6,MESO,0,RHPV,580
11,21/08/2014,Aug,3,7,MESO,3,RHPV,440
11,21/08/2014,Aug,3,8,MESO,2,RHPV,440
11,21/08/2014,Aug,3,9,MESO,3,RHPV,440
11,22/08/2014,Aug,1,1,MESO,3,RHPV,640
11,22/08/2014,Aug,1,2,MESO,0,RHPV,640
11,22/08/2014,Aug,1,3,MESO,0,RHPV,640
4,27/01/2014,Jan,2,4,CONT,1,RHPV,580
4,17/01/2014,Jan,2,5,CONT,0,RHPV,580
4,27/01/2014,Jan,2,6,CONT,5,RHPV,580
4,20/01/2014,Jan,3,7,CONT,2,RHPV,440
4,25/01/2014,Jan,3,8,CONT,1,RHPV,440
4,20/01/2014,Jan,3,9,CONT,0,RHPV,440
4,14/01/2014,Jan,1,1,CONT,0,RHPV,640
4,14/01/2014,Jan,1,2,CONT,0,RHPV,640
4,18/01/2014,Jan,1,3,CONT,0,RHPV,640
4,27/01/2014,Jan,2,4,LMH,4,RHPV,580
4,17/01/2014,Jan,2,5,LMH,0,RHPV,580
4,27/01/2014,Jan,2,6,LMH,4,RHPV,580
4,20/01/2014,Jan,3,7,LMH,8,RHPV,440
4,25/01/2014,Jan,3,8,LMH,3,RHPV,440
4,20/01/2014,Jan,3,9,LMH,18,RHPV,440
4,14/01/2014,Jan,1,1,LMH,0,RHPV,640
4,14/01/2014,Jan,1,2,LMH,0,RHPV,640
4,18/01/2014,Jan,1,3,LMH,0,RHPV,640
4,27/01/2014,Jan,2,4,MEGA,1,RHPV,580
4,17/01/2014,Jan,2,5,MEGA,0,RHPV,580
4,27/01/2014,Jan,2,6,MEGA,0,RHPV,580
4,20/01/2014,Jan,3,7,MEGA,2,RHPV,440
4,25/01/2014,Jan,3,8,MEGA,4,RHPV,440
4,20/01/2014,Jan,3,9,MEGA,5,RHPV,440
4,14/01/2014,Jan,1,1,MEGA,0,RHPV,640
4,14/01/2014,Jan,1,2,MEGA,0,RHPV,640
4,18/01/2014,Jan,1,3,MEGA,0,RHPV,640
4,27/01/2014,Jan,2,4,MESO,0,RHPV,580
4,17/01/2014,Jan,2,5,MESO,1,RHPV,580
4,27/01/2014,Jan,2,6,MESO,1,RHPV,580
4,20/01/2014,Jan,3,7,MESO,1,RHPV,440
4,25/01/2014,Jan,3,8,MESO,1,RHPV,440
4,20/01/2014,Jan,3,9,MESO,7,RHPV,440
4,14/01/2014,Jan,1,1,MESO,0,RHPV,640
4,14/01/2014,Jan,1,2,MESO,0,RHPV,640
4,18/01/2014,Jan,1,3,MESO,0,RHPV,640
10,23/07/2014,Jul,2,4,CONT,6,RHPV,580
10,23/07/2014,Jul,2,5,CONT,0,RHPV,580
10,23/07/2014,Jul,2,6,CONT,2,RHPV,580
10,24/07/2014,Jul,3,7,CONT,10,RHPV,440
10,24/07/2014,Jul,3,8,CONT,0,RHPV,440
10,24/07/2014,Jul,3,9,CONT,2,RHPV,440
10,22/07/2014,Jul,1,1,CONT,4,RHPV,640
10,22/07/2014,Jul,1,2,CONT,0,RHPV,640
10,22/07/2014,Jul,1,3,CONT,0,RHPV,640
10,23/07/2014,Jul,2,4,LMH,84,RHPV,580
10,23/07/2014,Jul,2,5,LMH,22,RHPV,580
10,23/07/2014,Jul,2,6,LMH,14,RHPV,580
10,24/07/2014,Jul,3,7,LMH,76,RHPV,440
10,24/07/2014,Jul,3,8,LMH,60,RHPV,440
10,24/07/2014,Jul,3,9,LMH,30,RHPV,440
10,22/07/2014,Jul,1,1,LMH,0,RHPV,640
10,22/07/2014,Jul,1,2,LMH,0,RHPV,640
10,22/07/2014,Jul,1,3,LMH,4,RHPV,640
10,23/07/2014,Jul,2,4,MEGA,15,RHPV,580
10,23/07/2014,Jul,2,5,MEGA,1,RHPV,580
10,23/07/2014,Jul,2,6,MEGA,12,RHPV,580
10,24/07/2014,Jul,3,7,MEGA,8,RHPV,440
10,24/07/2014,Jul,3,8,MEGA,5,RHPV,440
10,24/07/2014,Jul,3,9,MEGA,3,RHPV,440
10,22/07/2014,Jul,1,1,MEGA,0,RHPV,640
10,22/07/2014,Jul,1,2,MEGA,2,RHPV,640
10,22/07/2014,Jul,1,3,MEGA,0,RHPV,640
10,23/07/2014,Jul,2,4,MESO,15,RHPV,580
10,23/07/2014,Jul,2,5,MESO,9,RHPV,580
10,23/07/2014,Jul,2,6,MESO,6,RHPV,580
10,24/07/2014,Jul,3,7,MESO,9,RHPV,440
10,24/07/2014,Jul,3,8,MESO,3,RHPV,440
10,24/07/2014,Jul,3,9,MESO,12,RHPV,440
10,22/07/2014,Jul,1,1,MESO,1,RHPV,640
10,22/07/2014,Jul,1,2,MESO,1,RHPV,640
10,22/07/2014,Jul,1,3,MESO,2,RHPV,640
13.5,11/10/2010,OctNov,2,4,CONT,0,RHPV,580
13.5,11/11/2010,OctNov,2,5,CONT,1,RHPV,580
13.5,11/10/2010,OctNov,2,6,CONT,0,RHPV,580
13.5,30/10/2014,OctNov,3,7,CONT,1,RHPV,440
13.5,30/10/2014,OctNov,3,8,CONT,0,RHPV,440
13.5,31/10/2014,OctNov,3,9,CONT,1,RHPV,440
13.5,13/11/2014,OctNov,1,1,CONT,1,RHPV,640
13.5,13/11/2014,OctNov,1,2,CONT,1,RHPV,640
13.5,14/11/2014,OctNov,1,3,CONT,1,RHPV,640
13.5,11/10/2010,OctNov,2,4,LMH,19,RHPV,580
13.5,11/11/2010,OctNov,2,5,LMH,0,RHPV,580
13.5,11/10/2010,OctNov,2,6,LMH,3,RHPV,580
13.5,30/10/2014,OctNov,3,7,LMH,27,RHPV,440
13.5,31/10/2014,OctNov,3,8,LMH,1,RHPV,440
13.5,31/10/2014,OctNov,3,9,LMH,3,RHPV,440
13.5,13/11/2014,OctNov,1,1,LMH,0,RHPV,640
13.5,13/11/2014,OctNov,1,2,LMH,1,RHPV,640
13.5,14/11/2014,OctNov,1,3,LMH,0,RHPV,640
13.5,11/10/2010,OctNov,2,4,MEGA,5,RHPV,580
13.5,11/10/2010,OctNov,2,5,MEGA,1,RHPV,580
13.5,11/10/2010,OctNov,2,6,MEGA,0,RHPV,580
13.5,31/10/2014,OctNov,3,7,MEGA,0,RHPV,440
13.5,31/10/2014,OctNov,3,8,MEGA,0,RHPV,440
13.5,31/10/2014,OctNov,3,9,MEGA,0,RHPV,440
13.5,14/11/2014,OctNov,1,1,MEGA,0,RHPV,640
13.5,14/11/2014,OctNov,1,2,MEGA,0,RHPV,640
13.5,14/11/2014,OctNov,1,3,MEGA,0,RHPV,640
13.5,11/10/2010,OctNov,2,4,MESO,2,RHPV,580
13.5,11/10/2010,OctNov,2,5,MESO,0,RHPV,580
13.5,11/10/2010,OctNov,2,6,MESO,3,RHPV,580
13.5,31/10/2014,OctNov,3,7,MESO,3,RHPV,440
13.5,31/10/2014,OctNov,3,8,MESO,0,RHPV,440
13.5,31/10/2014,OctNov,3,9,MESO,0,RHPV,440
13.5,14/11/2014,OctNov,1,1,MESO,0,RHPV,640
13.5,14/11/2014,OctNov,1,2,MESO,0,RHPV,640
