Period,Date,Month,Level,Replicate,Treatment,Total,species,Rain
1,22/10/2013,Oct,2,4,CONT,3,RHPV,580
2,19/11/2013,Nov,2,4,CONT,5,RHPV,580
3,18/12/2013,Dec,2,4,CONT,0,RHPV,580
4,27/01/2014,Jan,2,4,CONT,1,RHPV,580
5,2/12/2014,Feb,2,4,CONT,7,RHPV,580
6.5,28/03/2014,MarApr,2,4,CONT,24,RHPV,580
8,5/8/2014,May,2,4,CONT,7,RHPV,580
9,24/06/2014,Jun,2,4,CONT,4,RHPV,580
10,23/07/2014,Jul,2,4,CONT,6,RHPV,580
11,20/08/2014,Aug,2,4,CONT,1,RHPV,580
12,30/09/2014,Sep,2,4,CONT,1,RHPV,580
13.5,11/11/2014,OctNov,2,4,CONT,0,RHPV,580
1,23/10/2013,Oct,2,5,CONT,1,RHPV,580
2,26/11/2013,Nov,2,5,CONT,1,RHPV,580
3,18/12/2013,Dec,2,5,CONT,0,RHPV,580
4,17/01/2014,Jan,2,5,CONT,0,RHPV,580
5,17/02/2014,Feb,2,5,CONT,1,RHPV,580
6.5,29/03/2014,MarApr,2,5,CONT,3,RHPV,580
8,5/8/2014,May,2,5,CONT,1,RHPV,580
9,24/06/2014,Jun,2,5,CONT,0,RHPV,580
10,23/07/2014,Jul,2,5,CONT,0,RHPV,580
11,20/08/2014,Aug,2,5,CONT,1,RHPV,580
12,30/09/2014,Sep,2,5,CONT,0,RHPV,580
13.5,11/12/2014,OctNov,2,5,CONT,1,RHPV,580
1,23/10/2013,Oct,2,6,CONT,2,RHPV,580
2,26/11/2013,Nov,2,6,CONT,0,RHPV,580
3,18/12/2013,Dec,2,6,CONT,0,RHPV,580
4,27/01/2014,Jan,2,6,CONT,5,RHPV,580
5,17/02/2014,Feb,2,6,CONT,1,RHPV,580
6.5,1/4/2014,MarApr,2,6,CONT,2,RHPV,580
8,5/9/2014,May,2,6,CONT,3,RHPV,580
9,24/06/2014,Jun,2,6,CONT,1,RHPV,580
10,23/07/2014,Jul,2,6,CONT,2,RHPV,580
11,20/08/2014,Aug,2,6,CONT,1,RHPV,580
12,30/09/2014,Sep,2,6,CONT,1,RHPV,580
13.5,11/11/2014,OctNov,2,6,CONT,0,RHPV,580
1,24/10/2013,Oct,3,7,CONT,2,RHPV,440
2,28/11/2013,Nov,3,7,CONT,0,RHPV,440
3,17/12/2013,Dec,3,7,CONT,0,RHPV,440
4,20/01/2014,Jan,3,7,CONT,2,RHPV,440
5,13/02/2014,Feb,3,7,CONT,2,RHPV,440
6.5,26/03/2014,MarApr,3,7,CONT,0,RHPV,440
8,5/12/2014,May,3,7,CONT,2,RHPV,440
9,25/06/2014,Jun,3,7,CONT,1,RHPV,440
10,24/07/2014,Jul,3,7,CONT,10,RHPV,440
11,21/08/2014,Aug,3,7,CONT,0,RHPV,440
12,19/09/2014,Sep,3,7,CONT,0,RHPV,440
13.5,30/10/2014,OctNov,3,7,CONT,1,RHPV,440
1,25/10/2013,Oct,3,8,CONT,0,RHPV,440
2,29/11/2013,Nov,3,8,CONT,0,RHPV,440
3,17/12/2013,Dec,3,8,CONT,1,RHPV,440
4,25/01/2014,Jan,3,8,CONT,1,RHPV,440
5,13/02/2014,Feb,3,8,CONT,3,RHPV,440
